title,price,bedrooms,area,link,image,description
,3500,,"69-01 Central Ave #2, Ridgewood, NY 11385",https://www.zillow.com/homedetails/69-01-Central-Ave-2-Ridgewood-NY-11385/461382065_zpid/,,
,3250,,"111-10 14th Ave #2, College Pt, NY 11356",https://www.zillow.com/homedetails/111-10-14th-Ave-2-College-Pt-NY-11356/2054245372_zpid/,,
,3500,,"(undisclosed Address), Bronx, NY 10473",https://www.zillow.com/homedetails/Bronx-NY-10473/461207623_zpid/,,
,4998,,"7611 270th St #1, New Hyde Park, NY 11040",https://www.zillow.com/homedetails/7611-270th-St-1-New-Hyde-Park-NY-11040/461417382_zpid/,,
,1800,1,"917 Eagle Ave, Bronx, NY","https://www.zillow.com/b/917-eagle-ave-bronx-ny/40.8234,-73.908226_ll/",,
,2075,,"8423 Lander St APT 3F, Jamaica, NY 11435",https://www.zillow.com/homedetails/8423-Lander-St-APT-3F-Jamaica-NY-11435/2101247045_zpid/,,
,3000,,"3623 172nd St #3F, Flushing, NY 11358",https://www.zillow.com/homedetails/3623-172nd-St-3F-Flushing-NY-11358/351178940_zpid/,,
,3400,,"1866 Himrod St APT 1R, Ridgewood, NY 11385",https://www.zillow.com/homedetails/1866-Himrod-St-APT-1R-Ridgewood-NY-11385/2068560385_zpid/,,
,3300,,"1732 Dekalb Ave, Ridgewood, NY 11385",https://www.zillow.com/homedetails/1732-Dekalb-Ave-Ridgewood-NY-11385/32008318_zpid/,,
,4679,4,"612 Mead St, Bronx, NY",https://www.zillow.com/b/612-mead-st-bronx-ny-97TLbv/,,
,2600,,"(undisclosed Address), Flushing, NY 11385",https://www.zillow.com/homedetails/Flushing-NY-11385/32013260_zpid/,,
,2500,,"39-05 210th St Floor 1, Bayside, NY 11361",https://www.zillow.com/homedetails/39-05-210th-St-FLOOR-1-Bayside-NY-11361/461416866_zpid/,,
,1600,,"247 Finlay St, Staten Island, NY 10307",https://www.zillow.com/homedetails/247-Finlay-St-Staten-Island-NY-10307/83052864_zpid/,,
,3753,,"(undisclosed Address), Bronx, NY 10461",https://www.zillow.com/homedetails/Bronx-NY-10461/29812246_zpid/,,
,3400,,"919 Tilden St, Bronx, NY 10469",https://www.zillow.com/homedetails/919-Tilden-St-Bronx-NY-10469/68311718_zpid/,,
,3800,,"(undisclosed Address), Flushing, NY 11358",https://www.zillow.com/homedetails/Flushing-NY-11358/2079096421_zpid/,,
,3500,,"164-30 77th Rd, Fresh Meadows, NY 11366",https://www.zillow.com/homedetails/164-30-77th-Rd-Fresh-Meadows-NY-11366/2062749388_zpid/,,
,1900,,"(undisclosed Address), Staten Island, NY 10314",https://www.zillow.com/homedetails/Staten-Island-NY-10314/32302172_zpid/,,
